iter	Passed	Remaining
181	5081	22838
182	5135	22928
183	5196	23043
184	5244	23102
185	5282	23119
186	5320	23129
187	5355	23130
188	5395	23153
189	5429	23148
190	5461	23131
191	5488	23098
192	5514	23058
193	5541	23024
194	5567	22984
195	5591	22937
196	5615	22891
197	5639	22843
198	5664	22798
199	5693	22773
200	5716	22725
201	5744	22693
202	5771	22659
203	5798	22625
204	5823	22582
205	5849	22547
206	5875	22507
207	5901	22471
208	5925	22426
209	5954	22399
210	5978	22354
211	6004	22317
212	6030	22281
213	6054	22239
214	6080	22201
215	6107	22166
216	6129	22118
217	6154	22076
218	6178	22035
219	6204	21998
220	6229	21959
221	6255	21923
222	6283	21891
223	6307	21850
224	6335	21820
225	6359	21780
226	6383	21738
227	6411	21707
228	6435	21667
229	6459	21624
230	6485	21591
231	6512	21559
232	6537	21520
233	6563	21487
234	6587	21444
235	6612	21405
236	6638	21370
237	6661	21326
238	6688	21297
239	6715	21265
240	6740	21229
241	6766	21194
242	6792	21160
243	6815	21118
244	6842	21087
245	6868	21050
246	6894	21018
247	6919	20980
248	6946	20952
249	7019	21058
250	7047	21029
251	7070	20987
252	7096	20951
253	7119	20909
254	7145	20875
255	7169	20835
256	7193	20797
257	7219	20763
258	7244	20726
259	7268	20688
260	7290	20643
261	7317	20611
262	7341	20572
263	7365	20533
264	7390	20497
265	7415	20461
266	7441	20428
267	7466	20393
268	7487	20347
269	7510	20306
270	7534	20269
271	7560	20234
272	7584	20196
273	7608	20160
274	7632	20122
275	7656	20083
276	7679	20043
277	7704	20009
278	7728	19973
279	7754	19940
280	7779	19906
281	7804	19871
282	7830	19838
283	7852	19796
284	7875	19757
285	7898	19717
286	7922	19681
287	7947	19647
288	7973	19616
289	7999	19584
290	8022	19547
291	8048	19514
292	8073	19480
293	8099	19449
294	8124	19415
295	8149	19382
296	8174	19349
297	8195	19306
298	8220	19272
299	8242	19232
300	8268	19202
301	8291	19164
302	8317	19132
303	8340	19094
304	8364	19060
305	8386	19020
306	8412	18990
307	8438	18958
308	8464	18929
309	8491	18901
310	8515	18865
311	8539	18830
312	8564	18797
313	8587	18760
314	8610	18724
315	8634	18689
316	8659	18656
317	8685	18627
318	8707	18588
319	8734	18559
320	8759	18529
321	8787	18503
322	8814	18475
323	8844	18453
324	8869	18422
325	8896	18392
326	8919	18357
327	8946	18330
328	8972	18299
329	8997	18267
330	9022	18236
331	9051	18212
332	9077	18181
333	9104	18154
334	9131	18127
335	9157	18097
336	9184	18069
337	9209	18038
338	9234	18005
339	9263	17981
340	9288	17950
341	9313	17919
342	9335	17882
343	9361	17852
344	9389	17825
345	9417	17801
346	9443	17771
347	9469	17742
348	9495	17711
349	9521	17682
350	9545	17649
351	9569	17616
352	9593	17583
353	9615	17546
354	9638	17513
355	9666	17485
356	9691	17456
357	9718	17427
358	9746	17402
359	9774	17376
360	9802	17351
361	9827	17319
362	9852	17289
363	9880	17264
364	9906	17233
365	9929	17199
366	9955	17171
367	9980	17140
368	10007	17113
369	10038	17092
370	10069	17071
371	10098	17047
372	10127	17023
373	10151	16991
374	10181	16969
375	10209	16942
376	10234	16912
377	10259	16881
378	10286	16854
379	10311	16823
380	10335	16792
381	10364	16768
382	10391	16741
383	10417	16711
384	10441	16679
385	10464	16646
386	10491	16618
387	10514	16584
388	10539	16554
389	10565	16525
390	10594	16501
391	10619	16470
392	10644	16440
393	10667	16407
394	10692	16377
395	10716	16346
396	10745	16320
397	10772	16294
398	10799	16266
399	10827	16240
400	10853	16212
401	10879	16183
402	10905	16155
